index,predicted_score
15776,0
5344,0
11297,0
7695,0
16729,0
5300,1
9473,1
3611,1
12990,0
15594,0
7428,0
16274,0
3055,0
15111,0
2262,0
8771,1
4427,0
15892,0
1391,1
14126,0
1379,0
16644,0
11254,0
11193,0
15633,1
3985,0
4038,0
987,0
3015,0
10358,0
7612,0
16446,0
1286,1
9495,1
12849,1
6518,0
4856,0
6552,1
15301,1
10523,1
15069,1
12273,0
1175,1
16285,0
6121,0
1575,1
6417,0
15178,1
12593,1
596,1
6578,0
13867,0
2554,1
11491,0
7305,0
10464,1
8339,1
5891,1
7432,0
7585,0
10742,0
8987,0
16642,0
1668,0
2427,0
12580,1
14313,0
10401,0
8192,1
13722,0
3158,1
14771,0
9078,1
7726,0
12061,0
1884,0
15649,0
10526,0
9575,0
16535,1
7620,0
982,0
6739,1
16304,1
15604,0
8473,1
12582,0
16713,0
12726,1
13459,0
290,0
12669,0
4072,1
13396,1
6824,1
13743,1
3797,1
7201,0
16881,0
3173,1
11368,1
3801,0
7211,0
153,0
6912,1
11502,1
14787,0
16194,1
112,1
3933,0
6241,0
15399,0
11196,0
2051,0
7184,1
1419,0
7240,0
16534,0
10049,0
9929,1
14847,0
9829,1
12352,0
2294,0
8398,0
8148,1
6762,0
13277,1
13120,0
15229,0
8453,0
12221,0
311,0
916,0
5002,0
6286,0
6686,0
2893,1
9270,0
11149,0
10446,0
13383,1
6871,0
11762,0
12586,1
10165,0
15191,0
12786,0
3726,1
8807,0
2851,0
101,1
9883,0
10208,1
16293,0
2671,0
5350,0
2707,0
4188,0
4799,1
11740,1
11927,1
4486,1
5994,1
4749,0
3525,0
14752,0
305,0
9807,0
12628,1
6894,0
4298,1
7582,0
4951,0
9626,0
14281,0
9257,1
6105,1
15106,0
6172,1
13267,0
2318,0
15800,1
5391,1
14167,1
7504,0
4248,0
6482,0
7139,1
3004,1
7339,0
4614,0
2130,1
8946,1
7247,0
2906,1
15624,0
2618,0
6538,0
9503,0
3443,1
6452,0
2779,0
14493,1
14368,1
15318,0
4435,0
16195,0
15935,0
11448,0
8042,1
16647,0
15672,0
9191,1
12818,1
5958,1
8682,0
9891,1
12331,1
8691,1
15209,0
12770,1
13605,0
653,1
2178,1
6694,0
4372,0
14470,0
12571,1
3371,0
191,0
10302,0
3299,0
10955,0
14824,1
87,0
10107,1
6879,1
14723,0
15627,0
15132,0
6466,0
809,1
7847,0
5587,0
9406,0
244,0
16176,1
14798,0
15615,1
15335,0
9311,0
15469,1
3786,0
7606,0
9596,0
2710,1
9742,0
16946,1
2060,1
10338,0
8803,0
13328,1
6255,0
1485,1
9295,0
7753,1
16982,1
6838,0
2985,0
9665,0
12384,0
13111,0
7803,0
15663,0
11873,1
2312,1
13806,0
4399,1
4286,0
11418,0
1493,0
11847,0
5186,1
568,0
15323,1
10343,0
16891,0
5199,0
852,0
8517,1
14898,0
5483,1
4918,0
12930,0
14120,1
3957,0
11104,1
10203,0
9150,0
4197,1
10699,0
14151,0
14210,0
3476,1
1300,1
6899,0
4069,0
5178,1
8451,0
426,1
2580,0
485,1
6032,0
10886,0
2839,0
16902,0
14813,0
8026,0
15598,0
15408,1
12190,0
16612,0
10991,0
1650,1
16313,1
11908,0
10707,1
14684,0
1604,0
8906,0
7178,0
1048,1
13563,0
16249,1
3242,1
15266,0
162,0
11184,0
12655,0
6311,1
12619,1
835,1
3704,0
6490,0
11086,0
3178,0
877,0
12547,1
16337,0
10056,0
11920,1
2551,0
713,0
5744,0
15485,1
10582,0
15674,0
13953,1
1988,1
2606,0
1581,0
381,0
776,0
6069,0
8591,0
10010,0
8425,0
7346,1
4668,0
604,0
10412,1
13062,0
14910,1
10953,0
12821,0
7181,0
4376,0
12495,1
7480,1
3900,0
10242,0
5520,0
16777,0
1869,1
1307,1
3118,0
13887,0
14238,0
16544,1
9426,0
12991,0
13988,1
13340,1
10469,0
14781,0
1072,0
13641,0
14366,1
16117,0
9534,0
3930,1
8969,0
4556,0
14915,1
11784,1
11031,0
4104,0
13148,0
11412,0
4998,0
16241,0
15987,0
16659,0
16591,1
2341,0
4409,0
7967,1
3612,0
1169,0
10706,0
3086,1
5057,0
15169,1
15837,0
11625,1
7862,0
14051,0
14741,0
4974,1
16019,1
12654,1
14362,0
15512,1
10734,1
6861,0
16408,0
10783,0
7835,1
53,0
6052,1
4145,0
4800,0
12165,0
7159,0
703,0
4211,0
1089,1
11557,0
13362,1
538,0
201,0
16220,0
8754,1
5019,1
11903,1
16712,0
3335,0
4244,0
10139,0
14806,1
9234,1
9654,1
14797,0
11287,1
16955,0
5492,0
5823,0
16327,1
5829,1
8649,1
11584,0
15027,0
4655,0
9116,0
11603,0
6855,0
11850,0
16335,0
437,1
1905,0
1305,1
9221,0
5960,0
15641,0
15337,1
4130,1
2854,1
13824,0
16973,1
2722,0
3054,0
6900,0
12693,0
12773,1
16428,0
11808,1
15899,1
9496,0
15815,0
13947,1
9688,0
1313,0
5122,0
5792,0
14328,0
14970,0
1488,0
10331,0
10156,0
13665,0
7118,1
11932,0
8744,1
1325,0
16757,0
8419,0
490,1
5962,1
15917,0
7345,0
415,1
12686,0
669,0
3916,0
8360,0
9012,0
6338,0
16228,0
7926,1
5973,0
5540,1
8868,1
1466,1
3708,0
5253,1
5710,1
13063,0
4537,1
2030,0
11526,1
12191,1
10364,1
16347,0
12093,1
3001,0
10118,0
6853,1
5096,0
10028,0
10124,0
7911,0
12917,0
3705,1
6763,0
11712,0
7740,0
5621,1
7918,0
4770,1
11874,0
13552,0
13384,1
13618,0
2451,0
4919,0
5797,0
5982,0
10542,0
8570,0
4329,0
742,0
7276,1
11494,1
14811,1
6997,0
16229,1
2628,1
128,0
7540,0
14996,0
15910,1
13782,0
14183,1
13006,0
2660,0
3469,0
14174,0
1273,0
1504,1
2343,0
13052,0
2907,0
15772,0
11306,1
16261,1
1654,0
14240,0
7906,0
1162,0
10974,0
1857,0
12280,1
1969,0
4617,1
10766,1
14198,0
15787,0
12003,0
14186,0
4513,0
672,0
8914,0
7542,1
6769,0
16483,0
12342,1
12759,1
9455,0
14283,0
4969,1
1631,1
9618,1
12954,1
15261,0
14968,0
1896,0
4720,1
15262,0
12156,1
3835,0
12228,1
15732,0
1702,0
11123,1
16699,0
3518,0
13042,1
3236,1
12676,0
6155,1
83,1
13933,0
5959,0
14951,1
6078,0
7777,0
5356,1
1075,0
10810,0
2668,0
5383,0
10172,0
13577,0
2820,0
10305,0
15530,0
3905,1
13023,0
5620,1
13779,1
16218,0
5535,1
13271,0
724,1
12832,0
1971,0
8177,0
3445,0
11863,1
7185,0
12812,0
7435,0
615,0
13330,0
7885,1
14605,0
8992,0
8768,1
1793,0
980,0
13323,1
319,0
11218,0
15386,0
7179,1
13585,0
2382,0
16175,0
8391,0
11065,0
16761,1
4138,0
12060,0
3588,1
2310,0
3121,1
9651,0
11353,1
14214,0
11983,0
6335,0
7510,0
14464,0
1723,1
6924,0
16137,0
2333,1
557,0
11663,0
12358,0
12123,0
11385,1
10795,0
7368,1
6144,0
15914,1
16747,1
12245,0
590,1
3505,1
2442,0
6795,0
5903,1
521,1
3712,1
4671,0
10993,0
6495,0
9029,1
231,0
12461,0
646,0
5739,0
430,0
6305,0
11487,0
750,0
16459,0
7621,0
14788,0
14501,1
9897,0
11888,0
7763,0
11211,1
14950,1
5479,0
11106,0
15388,1
9990,0
13360,0
8687,1
14548,1
14488,1
14326,0
7505,0
16735,0
5332,0
8971,0
14324,1
7329,1
10235,0
7074,1
5270,0
16256,0
2154,0
8286,0
12737,0
16700,1
733,1
7581,1
9734,0
1769,0
11732,0
6090,1
12642,0
6017,0
14466,1
707,0
15794,1
2471,1
2584,0
12601,0
15850,1
6964,0
10004,0
8461,0
11730,0
4178,0
11405,0
10841,0
2496,1
11261,1
12301,0
13771,0
14517,1
1844,1
5040,0
11681,1
11538,1
3899,0
6835,1
11452,0
12091,1
525,1
2381,1
3912,1
2236,0
16914,1
9158,0
13011,0
7361,0
13443,0
8385,0
7148,0
2019,0
12520,1
16511,1
13268,0
12338,1
9170,0
3574,0
16970,1
4881,0
5006,0
9686,0
14369,0
1073,0
7846,0
9437,0
1796,1
4648,0
8350,0
10525,1
12027,0
11016,0
4390,0
15409,0
2789,0
3478,0
7101,1
9962,1
2860,1
10372,1
15770,0
7766,0
797,0
16455,0
10185,0
10020,0
9764,0
15712,0
7671,1
9601,0
5107,1
9065,0
7841,0
11094,0
14164,0
15459,0
15270,1
15840,0
8729,0
3875,0
3597,0
5824,0
8912,0
10162,0
7590,0
3577,1
16149,0
13588,0
5365,0
13025,0
10327,0
467,0
15822,0
5553,0
7422,0
13921,0
13336,1
1010,0
3808,0
16179,0
15818,0
13116,0
15339,0
3860,0
924,0
11834,0
12902,0
15766,0
999,0
11462,1
12429,1
13766,1
15602,0
2505,0
1405,1
11187,0
12964,0
11026,1
293,1
13363,0
4018,1
15693,1
1754,1
5116,0
9182,1
2095,1
3039,0
1739,0
4953,0
6771,1
13943,0
4415,1
2242,0
13569,0
9098,1
12183,1
14701,0
6289,1
5054,1
1066,0
11585,1
9442,0
12238,0
8945,0
16354,0
2927,1
11812,0
5907,0
16772,0
3598,0
13068,0
7959,0
12985,0
15380,0
13184,0
7113,0
1262,0
15139,0
12222,0
532,0
2173,1
14645,1
13434,0
16303,0
3644,0
12246,0
10113,0
7191,0
12428,0
624,1
5897,1
9128,0
6862,0
5128,0
8595,0
6531,0
10403,0
13593,0
2723,0
9718,1
14525,0
12819,0
10528,1
8756,0
11993,1
6961,0
9920,0
13960,0
5033,0
5196,0
11898,1
16966,1
8676,1
5497,0
9847,1
3114,1
8143,0
8653,0
7086,1
9083,0
7386,0
11126,0
11145,0
12028,0
13642,0
5727,0
13798,1
12717,0
1009,0
5449,1
5439,0
14892,0
4764,1
5926,0
16413,1
9942,1
13781,0
9661,1
934,0
15455,0
12481,0
12085,1
8095,1
16130,0
11797,0
8804,0
5182,1
15931,0
12476,1
4613,0
2295,0
15368,0
16213,0
13126,1
15349,0
10677,1
15501,1
10038,0
5623,0
3917,0
15028,1
1761,1
15259,1
977,0
12936,0
2711,0
8128,0
573,0
9753,0
1596,0
5030,0
12956,0
530,0
3244,1
2409,0
141,0
110,0
10075,0
13154,0
13417,0
331,0
10438,0
3332,0
16201,0
13230,1
1837,0
14448,1
14474,1
4159,0
13349,0
5963,0
8179,1
1202,1
16600,0
8318,0
11720,0
8967,0
5164,1
8550,1
16950,0
6141,0
11503,0
2461,1
10703,0
14538,0
11166,1
9711,0
9066,0
3397,0
6393,0
1618,0
8222,0
15203,1
11764,1
2863,0
2630,0
15468,0
13620,1
9346,0
12898,0
578,1
9369,0
1263,0
15723,1
7782,0
6929,1
5609,1
10772,0
5849,1
8769,0
8597,1
5493,0
15925,0
4989,0
2084,0
1519,0
12295,0
12531,1
11000,0
4594,0
3596,0
799,1
14874,0
9277,0
7867,0
13375,0
14914,0
1365,1
14972,0
5487,0
12743,0
16320,1
10961,0
14867,1
4461,0
8295,0
5217,1
233,0
338,1
13929,0
7033,0
11835,1
2644,1
15782,0
9605,1
16028,0
2421,1
9999,0
9410,0
16754,0
12801,1
611,0
8823,0
3207,0
7383,0
13012,0
6682,0
11917,1
16656,0
148,0
3177,1
13774,0
7039,0
4269,0
13118,0
11679,1
14655,0
9263,0
4073,0
11087,1
6510,0
16957,1
342,0
8761,0
382,0
6147,0
12380,1
4552,0
12927,1
15188,1
14424,0
3500,0
9628,1
7537,0
6541,1
7931,0
12225,1
16905,0
14850,1
10127,1
10019,1
2798,0
6117,0
7677,1
15490,1
14361,0
3691,0
13439,0
9198,1
6004,1
13400,0
11381,0
2078,0
6033,0
1606,0
9679,1
4414,1
14308,0
13545,0
7573,0
4785,1
6358,1
3972,1
2485,1
1400,0
5508,0
13408,1
12055,1
10276,0
204,0
4509,0
10956,1
4424,0
13018,1
7174,0
11216,0
14392,0
10488,0
2303,1
1060,0
3781,1
4837,0
13666,0
4347,1
3284,0
11164,1
14766,0
14339,0
1727,0
13894,1
14348,0
14636,0
4402,0
16370,0
8218,1
4368,1
10873,0
11793,1
14864,0
12510,1
935,0
11068,0
12518,0
16227,0
12276,0
4494,1
1764,0
10802,0
9229,0
16691,0
11154,1
15101,0
10910,0
14492,0
14567,0
12070,0
12422,0
10938,0
7319,0
14777,0
16344,0
13692,0
11192,1
1556,0
12673,0
5861,0
1643,1
16668,0
11481,0
2386,1
2040,1
15125,0
3087,0
1250,0
1978,0
10935,1
7374,0
16350,0
7874,0
10007,1
9236,0
11233,1
11743,0
8784,0
3143,0
7363,0
16027,0
16360,1
2006,1
11787,0
8712,1
957,0
6333,0
9918,0
11147,0
12180,0
4973,0
1902,0
6570,0
16356,1
2329,0
9264,1
3673,0
16050,0
2772,0
9433,0
12730,1
2507,1
13121,1
7231,0
4247,0
3056,0
11975,1
15726,1
15566,0
10214,1
4090,0
6164,0
13720,1
